Label,Spectral Contrast,Chroma,MFCC
6,4.811048669522016,0.27030933,-574.00397
6,4.811048669522016,0.23833214,-562.878
6,4.811048669522016,0.26113644,-579.2029
6,4.811048669522016,0.30321497,-577.47473
6,4.811048433470376,0.23706724,-604.1671
6,4.811048669522016,0.48573485,-584.37244
6,4.811048669522016,0.44389573,-584.76776
6,4.811048669522016,0.47914645,-616.8102
6,4.811048669522016,0.4056505,-551.66956
7,8.590286622795297,0.41028064,-613.91034
7,7.1441423474237595,0.373174,-578.9814
7,1.3009048598672095,0.4332284,-610.82416
7,3.55715212312575,0.22615196,-588.30896
7,11.933142481505769,0.22542214,-600.1465
7,6.087282438882065,0.566405,-575.2467
7,4.601168568714806,0.24935511,-586.60913
7,3.473334237206682,0.35518828,-588.68085
7,5.860958190721959,0.2459713,-557.3994
7,7.05663264013957,0.29331005,-571.93066
7,6.935733163192236,0.45550996,-583.03455
7,4.930144016397769,0.45056146,-595.24896
7,6.464853063412557,0.23874177,-610.81586
7,12.019412632290017,0.43850973,-623.47424
7,3.4827034777760275,0.24399367,-587.6443
8,5.967575215211756,0.22629064,-548.03076
8,2.192617024434009,0.159628,-553.4835
8,4.286714647034998,0.2656324,-566.98096
8,2.550917498708513,0.07113467,-560.1813
8,5.529154632817203,0.24046838,-558.9513
8,13.386456274373476,0.23464978,-575.41486
8,5.147988822187518,0.22739694,-582.8108
8,1.558835914140154,0.056097925,-563.05334
8,5.9354922493259785,0.22888377,-606.2765
8,7.173329778544236,0.19882295,-587.7756
8,10.596956298598517,0.05039998,-646.8337
8,1.166207353172755,0.24391825,-624.1744
8,2.8585849622041053,0.35668206,-642.82465
8,8.584213686676353,0.38887408,-608.79584
8,6.602912914175089,0.46870372,-631.9972
9,4.811048669522016,0.25515652,-595.6406
9,4.811048669522016,0.3122788,-625.3565
9,4.811048669522016,0.24560346,-635.2079
9,4.811048669522016,0.26112518,-626.76996
9,4.811048669522016,0.26177543,-616.95197
9,4.811048669522016,0.30625272,-569.2503
9,4.811048669522016,0.35592043,-590.89844
9,4.811048669522016,0.25852484,-592.43
9,4.811048669522016,0.27371997,-617.6555
9,4.811048669522016,0.28040725,-588.5331
9,4.811048669522016,0.24927095,-551.38055
9,4.811048669522016,0.27252254,-614.2765
9,4.811048669522016,0.23676492,-591.6525
9,4.811048669522016,0.26192498,-616.9254
9,4.811048669522016,0.26290488,-577.1798
10,14.947211438435282,0.28415367,-569.49445
10,12.343163015221897,0.24149117,-498.98337
