Label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30
Ariana,-377.7607,89.29168,-7.478452,41.924618,-3.7078087,-15.568034,-24.599886,-14.218403,-9.820654,5.0882316,-14.302568,-7.2209735,0.049870957,-6.5339646,-5.8441954,-16.545189,-4.2674713,-6.5603166,-8.815352,-1.6684918,-2.5501823,-6.8816633,0.95203614,-2.718891,-5.280244,-0.6210863,-3.6785371,-1.2356924,-1.5301554,0.91310966
BetoM,-417.36978,120.43471,1.0097148,32.504623,11.228331,11.073458,-4.7770257,-6.753709,-10.939944,-3.5228407,0.75844,-10.6772785,-0.97930115,-4.898115,0.76718825,1.1953372,-3.672446,-1.9593859,-0.018132234,-2.9496343,-7.844347,0.010880111,-5.5300574,-8.36403,-2.6432045,-2.84992,-3.42716,-2.1176076,-2.4562693,-3.009109
BetoM,-395.48682,126.18873,1.3767046,30.601936,11.176019,10.313989,-5.7597294,-5.51678,-12.179083,-3.0099447,4.3313537,-8.846522,-1.816206,-4.8942885,3.1618223,-0.26240778,-3.949905,0.7238542,-1.1142154,-4.4764047,-6.7312417,0.72831243,-6.171926,-7.354069,-2.1221163,-2.6659446,-3.9747841,-4.062617,-1.8330405,-3.3762774
BetoM,-403.75626,128.79906,-0.43225634,30.629951,10.882385,7.0702643,-4.296421,-6.5158925,-16.047972,-1.9974765,2.7113895,-11.342423,-0.5473725,-5.991922,1.3459795,1.5430402,-3.3256238,-0.049506206,-0.9486092,-5.4081545,-7.5027165,1.6277918,-5.626555,-8.360841,-1.5920895,-2.7025766,-4.060425,-3.0573146,-3.290057,-3.8530612
BetoM,-425.32288,119.87723,8.127019,31.745739,11.03544,7.683265,-2.2925656,-5.276187,-13.593659,-2.413041,0.01616338,-10.325921,-0.14611539,-5.7079372,1.0574775,0.80521125,-3.2715094,0.8244636,0.30292723,-4.975931,-6.618813,1.0311956,-6.130382,-7.0396876,-2.0763292,-4.197794,-4.3424635,-2.9426513,-2.821183,-2.7136455
BetoM,-425.2802,108.665886,6.4915104,34.2519,12.254927,8.244416,-1.6952548,-5.3714013,-9.901069,-2.5004234,-0.12854572,-8.752409,-0.6737686,-6.0879726,0.54237235,2.1703649,-3.4647846,-0.9590922,0.19185679,-3.632833,-8.852182,-1.7851576,-4.647245,-6.4713106,-1.3690873,-3.1144593,-3.0093,-2.400251,-3.3085873,-2.1953485
Camila,-514.2948,107.1215,17.240976,32.719837,12.979459,-9.611165,-10.006497,-7.350998,-5.8797565,0.2519226,-6.7827606,5.122685,-11.828914,-2.4654186,-1.075821,-7.4317355,-5.797692,-6.3305416,-2.641543,-0.8918013,-2.340132,-8.184779,-1.9574199,2.0865047,0.3410538,4.55152,-0.017364172,8.071397,1.0238571,-0.13944909
Camila,-576.0045,109.401665,22.442804,25.474081,13.314754,-2.9168372,-3.6151052,-7.519712,-2.2959988,-3.9871087,-3.8062878,4.4083786,-11.322146,0.45879528,0.2282355,-9.554823,-5.6000023,-1.6061108,-4.5093994,0.38108644,-0.8859521,-7.649817,-1.1701311,1.0699643,0.08422213,-0.51026213,0.7904639,8.842698,3.316543,3.2521887
Camila,-573.15564,114.10209,33.929035,29.076694,16.846373,0.32354802,-10.350715,-3.128338,-2.96042,-3.7003567,-4.2416906,5.3745832,-8.705543,1.2562678,-2.3345113,-6.8372474,-5.9903164,-0.869088,-4.120438,-0.2561096,-2.0901818,-4.9947305,0.090477146,4.664586,2.4008207,-1.0554954,-1.2702247,4.754831,-0.87056255,-0.13668603
Camila,-545.2541,108.15741,27.066427,25.095205,12.983447,-4.25869,-4.9553285,-4.0524654,0.40669897,-1.1158375,-4.340416,5.722344,-11.762701,-0.12367769,-0.0663312,-11.228162,-5.5717826,-1.1890686,-6.7703176,-0.117908135,-4.525207,-8.490873,-1.0443699,1.1866649,-2.6421466,-3.5777307,-1.497229,6.7922134,-0.24952574,3.0538514
Camila,-538.8752,121.08101,19.961605,32.59969,9.38413,-6.161422,-7.952894,-9.801326,-3.7634645,-5.892914,-6.9116735,5.845895,-15.064177,-3.1250725,-0.37459275,-10.678848,-8.598298,-1.7267829,-6.0761347,-0.5660172,-2.0923288,-7.818682,0.47119883,2.9522543,1.8031605,1.4908592,5.3900256,12.098038,2.8506994,1.9865415
Cielo,-351.1203,62.474922,26.062763,27.302864,14.947905,8.457395,2.493288,-3.803897,-4.7749567,6.155975,-6.1788836,1.4255543,-5.8360615,4.156489,-6.3568587,0.40317768,6.998847,-1.5739604,7.074211,5.1075935,-1.6242121,2.0118916,4.9229774,-0.81411356,-1.3563089,-3.0076153,-0.3728018,0.48111734,-2.799488,1.2142458
Cielo,-355.11777,46.79351,3.8973994,16.655792,4.905478,1.0894868,-4.930783,-6.0734468,-3.4151495,6.094628,-7.8749313,3.8608317,-9.448727,4.6291676,-11.32745,-4.94417,3.2624118,-3.2648447,7.4500175,9.185159,7.369806,5.070649,7.2617936,6.750994,6.325697,7.367356,5.077414,0.6662266,-0.5940526,0.17882428
Cielo,-359.09274,44.519524,30.55903,20.172543,14.875912,4.2238226,6.762886,-1.5456933,-5.335624,2.439309,-1.5496691,-2.4144747,-1.8949468,3.111374,-4.2234488,-4.0473104,0.394235,-4.8886986,0.2041221,3.216719,2.0322015,4.0572023,5.152618,6.3776917,2.9859161,8.272773,1.4053653,3.133676,0.82679474,1.0710421
Cielo,-218.98369,66.433846,-3.7167652,15.428285,9.6822195,-4.7307973,-13.239984,-6.2040977,1.7757102,5.747983,-8.538984,10.96174,-7.3737607,7.325146,-3.7979615,-3.2359078,2.000851,-2.4328635,1.2671193,6.2477756,1.1556451,10.304912,12.136376,11.396245,8.917258,7.2406955,1.1957861,1.3195212,-4.0469055,4.8028865
Cielo,-405.1449,54.7048,31.360512,23.141808,6.1916513,4.6745114,-6.5830264,-4.6769485,1.6897051,7.4837894,-9.841252,4.0377984,-5.432111,2.1452336,-4.987858,-5.860096,2.4274068,-8.166933,-1.5881726,-5.9247947,-4.7873206,-8.511626,1.1606672,0.898849,5.754991,6.6567807,7.5677395,6.5681524,-0.62063694,1.5670255
DafneA,-423.9256,115.39614,-4.983351,34.096127,-1.6400868,0.7729569,-21.093363,3.6924663,-6.0309744,-6.8333125,-5.6272373,-3.8515608,-10.478376,-0.67554176,-1.3063734,-9.081147,-3.8515563,-3.4098647,-4.646286,-8.145321,-0.1703059,-8.78815,-0.455391,-5.3735695,-4.2581654,0.023218881,-0.6576181,5.1684856,4.623141,5.569237
DafneA,-411.99304,130.44005,-1.8353504,31.838852,1.0798217,1.3795215,-29.4816,1.7454851,-7.500932,-9.326694,-9.11294,-8.668907,-12.478594,-2.3943212,-3.0779092,-10.296617,-4.3364487,-2.8854928,-5.949214,-11.430448,-1.8564496,-10.93467,-1.2543997,-5.7368484,-4.148854,-1.7993258,-5.560726,1.7079107,1.0518385,6.825157
DafneA,-418.63196,118.642555,-9.512676,31.22789,-0.99572796,2.302164,-29.437056,2.4774797,-5.904893,-9.346406,-5.9416347,-8.112345,-12.026435,-3.383172,-2.4822617,-9.755084,-5.109709,-2.9604297,-5.620003,-9.374961,-0.7872437,-10.647426,-1.7487675,-3.9273267,-4.548257,-1.7665894,-1.9784851,7.170929,8.017338,10.258059
DafneA,-426.5319,109.696915,-7.6651115,28.782461,0.76169705,1.3264878,-26.678505,2.0757349,-6.9135423,-8.023035,-6.688794,-3.760054,-13.189155,-0.71523124,-1.5756742,-12.3596735,-2.685659,-3.167822,-5.1148577,-8.105681,-0.4202952,-7.7834578,0.063957065,-3.8409846,-4.145348,-0.46138743,-1.6055795,3.7339633,4.424724,5.315063
DafneA,-441.78494,113.072,-7.027028,27.731695,5.0744915,1.3922634,-27.519539,0.77470964,-7.368534,-8.43768,-6.613389,-5.8482533,-11.428507,-0.06525176,-2.033812,-11.657715,-2.9309366,-3.971927,-5.0619683,-8.461839,-2.1650038,-9.180051,-1.623527,-4.7240295,-4.378219,-1.8207042,-2.1786187,5.689334,5.434148,9.313694
Daniel,-528.2894,95.19583,17.790915,32.778305,11.912147,19.916147,-4.9774237,-3.6780994,4.250732,2.9563777,-1.2680666,-2.1962264,0.5415113,3.1448386,7.5432196,-1.9472073,1.7999077,2.393052,2.0059907,0.123632856,-0.8609028,0.5329042,-0.8111639,-0.07810741,-0.61936545,1.6098554,-0.73179996,0.91183037,0.10185814,-0.22408496
